Path ID	Reference	Description
K-Path:0001	R-HSA-5619084	ABC transporter disorders
K-Path:0002	R-HSA-382556	ABC-family proteins mediated transport
K-Path:0003	GO:0031532	actin cytoskeleton reorganization
K-Path:0004	GO:0061572	actin filament bundle organization
K-Path:0005	GO:0001508	action potential
K-Path:0006	R-HSA-176814	Activation of APC/C and APC/C:Cdc20 mediated degradation of mitotic proteins
K-Path:0007	GO:0090630	activation of gtpase activity
K-Path:0008	R-HSA-5619507	Activation of HOX genes during differentiation
K-Path:0009	GO:0000187	activation of mapk activity
K-Path:0010	GO:0000186	activation of mapkk activity
K-Path:0011	R-HSA-1169091	Activation of NF-kappaB in B cells
K-Path:0012	GO:0031032	actomyosin structure organization
K-Path:0013	GO:0002526	acute inflammatory response
K-Path:0014	GO:0007189	adenylate cyclase activating g protein coupled receptor signaling
K-Path:0015	GO:0007193	adenylate cyclase inhibiting g protein coupled receptor signaling
K-Path:0016	GO:0034332	adherens junction organization
K-Path:0017	GO:0030534	adult behavior
K-Path:0018	GO:0009060	aerobic respiration
K-Path:0019	GO:0046165	alcohol biosynthetic process
K-Path:0020	GO:1901607	alpha amino acid biosynthetic process
K-Path:0021	GO:0046631	alpha beta t cell activation
K-Path:0022	GO:0046632	alpha beta t cell differentiation
K-Path:0023	GO:0009308	amine metabolic process
K-Path:0024	GO:0015837	amine transport
K-Path:0025	GO:0050435	amyloid beta metabolic process
K-Path:0026	R-HSA-977225	Amyloid fiber formation
K-Path:0027	GO:0042987	amyloid precursor protein catabolic process
K-Path:0028	GO:0031145	anaphase promoting complex dependent catabolic process
K-Path:0029	GO:0071695	anatomical structure maturation
K-Path:0030	R-HSA-5620912	Anchoring of the basal body to the plasma membrane
K-Path:0031	GO:0048645	animal organ formation
K-Path:0032	GO:0031100	animal organ regeneration
K-Path:0033	GO:0019731	antibacterial humoral response
K-Path:0034	R-HSA-983170	"Antigen Presentation: Folding, assembly and peptide loading of class I MHC"
K-Path:0035	R-HSA-983168	Antigen processing: Ubiquitination & Proteasome degradation
K-Path:0036	R-HSA-1236975	Antigen processing-Cross presentation
K-Path:0037	GO:0061844	antimicrobial humoral immune response mediated by antimicrobial peptide
K-Path:0038	R-HSA-6803157	Antimicrobial peptides
K-Path:0039	GO:0035904	aorta development
K-Path:0040	R-HSA-176409	APC/C:Cdc20 mediated degradation of mitotic proteins
K-Path:0041	R-HSA-174154	APC/C:Cdc20 mediated degradation of Securin
K-Path:0042	R-HSA-174178	APC/C:Cdh1 mediated degradation of Cdc20 and other APC/C:Cdh1 targeted proteins in late mitosis/early G1
