kpathid	Pathway	extid	source	size	tag1	tag2	tag3	tag4	tag5	tag6	tag7
kp1170	Glycosphingolipid Biosynthesis - Globo/Isoglobo series	path:hsa00603	KEGG	15	Metabolism	Lipid Metabolism	NA	NA	NA	NA	NA
kp1174	Glycosphingolipid Biosynthesis - Ganglio series [KEGG]	path:hsa00604	KEGG	15	Metabolism	Lipid Metabolism	NA	NA	NA	NA	NA
kp1238	Thiamine Metabolism	path:hsa00730	KEGG	15	Metabolism	NA	NA	NA	NA	NA	NA
kp1322	Leucine Stimulation on Insulin Signaling	SMP00682	SMPDB	15	Signal Transduction	Insulin	NA	NA	NA	NA	NA
kp1336	Glycolysis	SMP00040	SMPDB	15	Metabolism	Carbohydrate Metabolism	Energy Metabolism	NA	NA	NA	NA
kp1340	Histidine Metabolism [SMPDB]	SMP00044	SMPDB	15	Metabolism	Amino-acid Metabolism	NA	NA	NA	NA	NA
kp1971	miRNAs involved in DNA Damage Response	WP1545	WikiPathway	15	Transcriptional Regulation	miRNA	NA	NA	NA	NA	NA
kp2005	Fatty-acid Omega Oxidation	WP206	WikiPathway	15	Metabolism	Lipid Metabolism	Fatty-acid	NA	NA	NA	NA
kp2074	Mammary Gland Development - Embryonic Development	WP2813	WikiPathway	15	Developmental Biology	NA	NA	NA	NA	NA	NA
kp2203	FFAR1 (GPR40) Pathway	WP3958	WikiPathway	15	Signal Transduction	Metabolism	Calcium	NA	NA	NA	NA
kp2208	Osterix (OSX) and miRNAs in Tooth Development	WP3971	WikiPathway	15	Developmental Biology	NA	NA	NA	NA	NA	NA
kp2282	Regulation of Sister Chromatid Separation in Metaphase-Anaphase Transition	WP4240	WikiPathway	15	Cell Cycle	NA	NA	NA	NA	NA	NA
kp2354	Oxysterols derived from Cholesterol	WP4545	WikiPathway	15	Metabolism	Lipid Metabolism	Cholesterol	NA	NA	NA	NA
kp2367	Cancer Immunotherapy by CTLA4 Blockade	WP4582	WikiPathway	15	Immune System	Cancers	NA	NA	NA	NA	NA
kp2471	Airway Smooth Muscle Cell Contraction	WP4962	WikiPathway	15	Physiology	Muscle	NA	NA	NA	NA	NA
kp2477	Metabotropic Glutamate/Pheromone Receptors (GPCR Class C)	WP501	WikiPathway	15	Signal Transduction	GPCR Signaling	NA	NA	NA	NA	NA
kp2506	Biogenic Amine Synthesis	WP550	WikiPathway	15	Metabolism	NA	NA	NA	NA	NA	NA
